playerOne,playerTwo,playerOneSeed,playerTwoSeed,winner,totalMoves,playerOneMs,playerTwoMs
minimax-d4-c-defensive,minimax-d4-a-baseline,583657540,1918251134,Draw,42,58.3894,58.4035
minimax-d4-a-baseline,minimax-d4-c-defensive,611932129,559870632,minimax-d4-a-baseline,41,57.97189999999999,55.3884
minimax-d4-c-defensive,minimax-d4-a-baseline,1650763118,540114102,minimax-d4-c-defensive,31,60.25789999999999,53.911
minimax-d4-a-baseline,minimax-d4-c-defensive,1696818187,1635761613,minimax-d4-a-baseline,41,62.22440000000001,61.47559999999999
minimax-d4-c-defensive,minimax-d4-a-baseline,1748829392,1892498829,minimax-d4-c-defensive,41,61.76650000000001,60.311499999999995
minimax-d4-a-baseline,minimax-d4-c-defensive,1997920078,2140149706,minimax-d4-a-baseline,41,62.2607,59.4167
minimax-d4-c-defensive,minimax-d4-a-baseline,561928528,4841527,minimax-d4-a-baseline,36,59.5521,53.02620000000001
minimax-d4-a-baseline,minimax-d4-c-defensive,1567279278,1447400003,minimax-d4-a-baseline,41,61.073999999999984,57.861799999999995
minimax-d4-c-defensive,minimax-d4-a-baseline,954747511,954102899,Draw,42,58.85520000000001,56.3045
minimax-d4-a-baseline,minimax-d4-c-defensive,1705922514,630576124,minimax-d4-a-baseline,41,63.705199999999984,61.8955
minimax-d4-c-defensive,minimax-d4-a-baseline,1554049605,724023486,minimax-d4-c-defensive,31,62.237599999999986,55.585
minimax-d4-a-baseline,minimax-d4-c-defensive,203994337,1516750148,minimax-d4-a-baseline,41,63.689400000000006,63.2881
minimax-d4-c-defensive,minimax-d4-a-baseline,1079300574,951330162,minimax-d4-a-baseline,36,58.53770000000001,50.629900000000006
minimax-d4-a-baseline,minimax-d4-c-defensive,146696140,1509320149,minimax-d4-a-baseline,41,60.20920000000001,52.35
minimax-d4-c-defensive,minimax-d4-a-baseline,654084232,1965764547,Draw,42,49.05499999999999,46.15490000000001
minimax-d4-a-baseline,minimax-d4-c-defensive,353611832,1960416752,minimax-d4-a-baseline,41,62.665299999999995,63.092099999999995
minimax-d4-c-defensive,minimax-d4-a-baseline,796234695,822394911,minimax-d4-c-defensive,39,67.78030000000001,62.1181
minimax-d4-a-baseline,minimax-d4-c-defensive,1662101772,1050254971,minimax-d4-a-baseline,41,63.369,55.891
minimax-d4-c-defensive,minimax-d4-a-baseline,321381257,754243658,Draw,42,56.7039,56.95910000000001
minimax-d4-a-baseline,minimax-d4-c-defensive,1064227312,874420456,minimax-d4-a-baseline,41,63.184400000000004,62.2739
minimax-d4-c-defensive,minimax-d4-a-baseline,224772506,898994399,minimax-d4-a-baseline,36,62.10260000000001,55.952899999999985
minimax-d4-a-baseline,minimax-d4-c-defensive,1326574713,1758864738,minimax-d4-a-baseline,41,64.16650000000001,61.756899999999995
minimax-d4-c-defensive,minimax-d4-a-baseline,533906800,1434664152,minimax-d4-c-defensive,39,69.10820000000001,62.22899999999999
minimax-d4-a-baseline,minimax-d4-c-defensive,261101042,865919942,minimax-d4-a-baseline,41,61.973800000000004,61.160199999999996
minimax-d4-c-defensive,minimax-d4-a-baseline,53556732,2114848769,minimax-d4-c-defensive,41,61.874800000000015,58.78399999999999
minimax-d4-a-baseline,minimax-d4-c-defensive,1281115079,1816664386,minimax-d4-a-baseline,41,65.45179999999999,63.643800000000006
minimax-d4-c-defensive,minimax-d4-a-baseline,884744485,1291867480,minimax-d4-c-defensive,39,74.53699999999999,63.60679999999999
minimax-d4-a-baseline,minimax-d4-c-defensive,1606144272,2007117701,minimax-d4-a-baseline,41,61.25840000000001,59.9461
minimax-d4-c-defensive,minimax-d4-a-baseline,1714256797,1242665628,minimax-d4-a-baseline,36,61.43979999999999,54.18149999999999
minimax-d4-a-baseline,minimax-d4-c-defensive,1628053705,699432956,minimax-d4-a-baseline,41,55.1173,55.32860000000001
minimax-d4-c-defensive,minimax-d4-a-baseline,393417962,187498038,minimax-d4-a-baseline,36,60.5555,50.64459999999999
minimax-d4-a-baseline,mcts-5k-c1-41421356237,981677381,1930548492,minimax-d4-a-baseline,33,59.385000000000005,430.06920000000014
mcts-5k-c1-41421356237,minimax-d4-a-baseline,1538886997,37503326,mcts-5k-c1-41421356237,35,527.1263,68.06639999999999
minimax-d4-a-baseline,mcts-5k-c1-41421356237,1343915011,1887017264,mcts-5k-c1-41421356237,20,53.83509999999999,365.393
mcts-5k-c1-41421356237,minimax-d4-a-baseline,490223402,517024307,minimax-d4-a-baseline,38,508.03440000000006,57.98309999999998
